; Motor Guará DXAL-2 V3
Classe Dext Comprimento P MassaPropelente(kg) MassaMotorCompleto(kg) FENIX
Time(s)     Temp1(ºC)
0.41     0.02
0.52     0.04
0.55     0.01
0.57     0.03
0.60     0.02
0.63     0.02
0.66     0.02
0.69     0.02
0.71     0.02
0.74     0.03
0.77     0.03
0.80     0.02
0.83     0.01
0.86     0.03
0.89     0.02
0.92     0.01
0.95     -0.01
1.00     -0.01
1.03     -0.01
1.06     -0.03
1.09     -0.03
1.12     -0.02
1.14     -0.02
1.17     -0.01
1.20     -0.02
1.23     -0.00
1.26     -0.03
1.29     -0.01
1.32     -0.03
1.35     -0.01
1.38     -0.02
1.41     -0.04
1.43     -0.03
1.47     -0.03
1.50     -0.01
1.53     -0.02
1.55     -0.03
1.58     -0.01
1.61     -0.03
1.64     -0.03
1.67     -0.03
1.70     -0.02
1.73     -0.01
1.75     -0.04
1.79     -0.01
1.81     -0.02
1.87     0.00
1.90     -0.01
1.93     -0.02
1.96     -0.01
1.98     -0.03
2.01     -0.03
2.04     -0.00
2.07     -0.02
2.10     -0.02
2.13     -0.03
2.16     -0.03
2.19     -0.03
2.22     -0.04
2.25     -0.02
2.28     -0.03
2.31     -0.01
2.34     -0.02
2.39     -0.02
2.42     -0.02
2.45     -0.03
2.48     -0.02
2.50     -0.03
2.53     0.00
2.56     -0.03
2.59     -0.01
2.62     -0.01
2.65     -0.02
2.68     -0.03
2.71     -0.02
2.74     -0.02
2.77     -0.02
2.80     -0.02
2.82     -0.02
2.85     -0.02
2.88     -0.02
2.91     -0.01
2.94     -0.02
2.97     -0.01
3.00     -0.02
3.02     -0.01
3.05     -0.01
3.08     -0.02
3.11     -0.01
3.14     0.00
3.17     -0.02
3.20     -0.03
3.23     -0.04
3.26     -0.00
3.32     -0.01
3.35     -0.03
3.38     -0.02
3.40     -0.02
3.43     -0.02
3.46     -0.04
3.49     -0.01
3.52     -0.04
3.55     -0.02
3.58     -0.02
3.60     -0.00
3.63     -0.02
3.66     -0.01
3.69     -0.03
3.72     -0.02
3.78     -0.02
3.81     -0.02
3.83     -0.02
3.86     -0.02
3.89     -0.04
3.92     -0.03
3.95     -0.02
3.98     -0.02
4.01     -0.01
4.04     -0.01
4.07     -0.01
4.09     -0.03
4.12     -0.02
4.16     -0.00
4.19     -0.03
4.22     -0.03
4.24     -0.01
4.27     -0.03
4.30     -0.02
4.33     -0.02
4.36     -0.02
4.39     -0.03
4.41     -0.04
4.45     -0.02
4.48     -0.01
4.50     -0.00
4.53     -0.01
4.56     -0.02
4.59     -0.00
4.62     -0.02
4.65     -0.02
4.68     -0.03
4.71     -0.01
4.76     -0.04
4.79     -0.03
4.82     -0.01
4.85     -0.01
4.88     -0.01
4.90     -0.00
4.93     -0.02
4.96     -0.04
4.99     -0.02
5.02     -0.03
5.05     -0.01
5.08     -0.01
5.11     -0.02
5.17     -0.01
5.20     0.01
5.23     -0.03
5.26     -0.02
5.28     -0.01
5.31     -0.04
5.34     -0.02
5.37     -0.02
5.40     -0.03
5.43     -0.03
5.46     -0.01
5.48     -0.03
