; Motor Guará DXAL-2 V3 EPDM
Guara_EPDM 63.5 592 P 1.42500 3.500 FENIX
Time(s)     Force(N)
0.00     0
0.05     31.58
0.09     139.65
0.13     180.93
0.18     228.40
0.23     296.26
0.28     414.13
0.33     554.96
0.38     678.62
0.42     791.59
0.47     843.18
0.52     885.05
0.56     922.61
0.62     960.56
0.67     1003.91
0.72     1032.25
0.77     1051.76
0.81     1077.16
0.86     1099.13
0.91     1121.98
0.96     1137.18
1.00     1151.89
1.05     1166.11
1.10     1180.13
1.15     1203.18
1.20     1222.99
1.25     1223.77
1.29     1237.70
1.34     1249.66
1.39     1259.57
1.45     1260.45
1.50     1255.35
1.54     1248.48
1.59     1215.34
1.64     1157.48
1.69     1040.68
1.74     871.12
1.79     696.56
1.83     534.17
1.88     397.27
1.93     288.61
1.98     193.88
2.02     138.76
2.07     94.634
2.12     55.80
2.17     39.42
2.22     30.20
2.26     0
