; Motor Guará DXAL-2 V3
Classe Dext Comprimento P MassaPropelente(kg) MassaMotorCompleto(kg) FENIX
Time(s)     Temp1(ºC)    Temp2(ºC)    Pressure(PSI)
0.42     0     0     49
0.51     24     24     51
0.54     24     24     53
0.56     24     24     57
0.59     24     24     53
0.62     24     24     58
0.65     24     24     59
0.68     24     24     52
0.73     24     24     55
0.76     24     24     53
0.79     24     24     53
0.81     24     24     55
0.85     24     24     53
0.87     24     24     55
0.91     24     24     52
0.93     24     24     57
0.96     24     24     58
0.99     24     24     54
1.02     24     24     54
1.05     24     24     55
1.08     24     24     56
1.10     24     24     58
1.13     24     24     53
1.16     24     24     53
1.19     24     24     57
1.22     24     24     54
1.25     24     24     54
1.28     24     24     54
1.31     24     24     54
1.34     24     24     55
1.37     24     24     53
1.39     24     24     55
1.42     24     24     55
1.45     24     24     56
1.48     24     24     53
1.51     24     24     53
1.56     24     24     54
1.59     24     24     57
1.62     24     24     60
1.65     24     24     59
1.68     24     24     55
1.71     24     24     52
1.73     24     24     57
1.76     24     24     59
1.79     24     24     56
1.82     24     24     53
1.85     24     24     56
1.88     24     24     55
1.91     24     24     50
1.93     24     24     57
1.96     24     24     53
1.99     24     24     55
2.02     24     24     58
2.05     24     24     54
2.08     24     24     53
2.11     24     24     55
2.16     24     24     55
2.19     24     24     54
2.22     24     24     54
2.25     24     24     57
2.28     24     24     55
2.31     24     24     54
2.34     25     24     57
2.37     25     24     55
2.40     25     24     55
2.42     25     24     53
2.45     25     24     58
2.48     25     24     55
2.51     25     24     58
2.54     25     24     55
2.57     24     24     53
2.60     24     24     53
2.62     24     24     52
2.65     24     24     56
2.68     24     24     53
2.71     24     24     54
2.74     24     24     53
2.77     24     24     53
2.80     24     24     53
2.83     24     24     53
2.85     24     24     55
2.88     24     24     56
2.91     24     24     55
2.96     24     24     58
2.99     24     24     55
3.02     24     25     55
3.05     24     25     53
3.08     24     25     55
3.10     24     25     59
3.13     24     25     52
3.17     24     25     56
3.20     24     25     55
3.23     24     25     54
3.26     24     24     54
3.29     24     24     54
3.31     24     24     54
3.34     24     24     56
3.37     24     24     56
3.40     24     24     55
3.43     24     24     55
3.45     24     24     56
3.48     24     25     53
3.51     24     25     55
3.54     24     25     56
3.59     24     25     55
3.62     24     25     55
