; Motor Guará DXAL-2 V3
Classe Dext Comprimento P MassaPropelente(kg) MassaMotorCompleto(kg) FENIX
Time(s)     Temp1(ºC)   Temp2(ºC)
4.36   23.87   23.48
4.96   23.24   23.46
4.99   23.33   23.45
5.01   23.86   23.35
5.04   23.37   23.37
5.07   23.69   23.91
5.09   23.97   24.02
5.12   23.99   24.08
5.15   23.44   23.47
5.18   23.67   23.36
5.21   23.56   23.37
5.23   23.06   23.40
5.26   23.96   23.93
5.29   23.71   23.48
5.32   23.80   24.06
5.35   23.35   23.41
5.38   23.83   23.41
5.40   23.88   23.82
5.43   23.25   23.45
5.46   23.93   24.00
5.49   23.46   23.59
5.51   23.35   23.44
5.54   23.67   23.28
5.57   23.99   23.87
5.59   23.08   23.44
5.62   23.55   23.57
5.65   23.69   23.63
5.68   23.19   23.49
5.71   23.35   23.31
5.73   23.82   23.26
5.76   23.33   23.40
5.79   23.21   23.45
5.82   23.77   23.57
5.84   23.41   23.50
5.87   23.91   23.90
5.90   23.48   23.43
5.93   23.46   23.43
5.96   23.43   23.45
5.99   23.53   23.44
6.01   23.49   23.56
6.04   23.84   23.91
6.09   23.42   23.44
6.12   23.72   23.30
6.15   23.42   23.44
6.18   23.41   23.45
6.20   23.81   23.57
6.23   23.42   23.45
6.26   23.34   23.35
6.29   23.79   23.27
6.31   24.02   23.91
6.34   23.32   23.52
6.37   23.44   23.53
6.40   23.77   23.51
6.43   23.43   23.41
6.45   23.94   23.80
6.48   23.46   23.43
6.51   23.23   23.51
6.54   23.74   24.00
6.57   23.72   23.47
6.59   23.31   23.42
6.62   23.10   23.31
6.65   23.56   23.41
6.68   23.47   23.45
6.70   23.36   23.52
6.73   23.49   23.48
6.76   23.51   23.44
6.79   23.38   23.35
6.81   23.48   23.41
6.84   23.71   23.43
6.87   23.16   23.55
6.90   23.34   23.53
6.92   23.83   23.46
6.95   23.42   23.38
6.98   23.13   23.33
7.01   24.18   23.89
7.04   23.44   23.47
7.07   23.20   23.63
7.09   23.77   23.50
7.12   23.57   23.36
7.15   23.05   23.36
7.18   23.46   23.34
7.20   23.63   23.48
7.23   23.54   24.02
7.26   23.88   24.01
7.29   24.09   23.91
7.31   23.34   23.26
7.34   23.40   23.42
7.37   23.81   23.45
7.40   23.90   23.99
7.43   23.14   23.49
7.45   23.58   23.45
7.48   23.52   23.29
7.51   23.02   23.35
7.54   23.48   23.41
7.57   23.50   23.44
7.59   23.09   23.60
7.62   23.42   23.48
7.65   23.50   23.35
7.68   23.34   23.44
7.71   23.73   23.88
7.73   23.87   23.47
7.76   23.40   23.60
7.79   23.16   23.53
7.84   23.64   23.40
7.87   24.01   23.91
7.89   23.05   23.41
7.92   24.18   23.97
7.95   23.74   23.55
7.98   23.04   23.59
8.01   23.47   23.44
8.03   23.69   23.29
8.06   23.30   23.38
8.09   23.29   23.43
8.11   24.43   23.95
8.15   23.34   23.46
8.17   23.19   23.46
8.20   23.88   23.40
8.23   23.49   23.27
8.26   23.70   23.89
8.28   24.06   24.00
8.31   23.58   23.57
8.34   23.43   23.46
8.37   23.53   23.42
8.40   23.79   23.25
8.42   23.36   23.35
8.45   23.92   23.95
8.48   23.85   23.57
8.51   23.35   23.56
8.53   23.34   23.43
8.56   23.45   23.34
8.59   23.92   23.79
8.61   23.22   23.44
8.64   23.62   23.59
8.67   23.60   23.62
8.70   23.43   23.94
8.72   23.48   23.30
8.75   23.50   23.37
8.78   23.39   23.40
8.81   23.42   23.50
8.83   23.53   23.59
8.86   23.32   23.48
8.89   23.34   23.33
8.92   23.63   23.37
8.94   23.42   23.42
8.97   23.79   23.96
9.00   23.72   23.63
9.03   23.53   23.48
9.06   23.40   23.41
9.08   23.56   23.44
9.11   23.96   23.91
9.14   23.11   23.45
9.17   23.44   23.50
9.19   23.86   23.57
9.22   23.62   23.92
9.25   23.85   23.84
9.28   23.94   23.85
9.31   23.33   23.44
9.34   23.19   23.44
9.36   23.57   23.62
9.39   23.48   23.48
9.42   23.05   23.38
9.44   23.47   23.36
9.47   23.71   23.44
9.50   23.26   23.50
9.53   23.48   23.57
9.56   23.68   23.53
9.61   23.65   23.85
9.64   23.33   23.33
9.66   23.51   23.33
9.69   23.74   23.97
9.72   23.92   23.97
9.75   23.86   23.48
9.77   23.95   23.92
9.80   23.70   23.82
9.83   23.67   23.38
9.86   23.48   23.45
9.89   23.29   23.44
9.91   23.45   23.54
9.94   24.12   23.93
9.97   23.44   23.36
10.00   23.38   23.44
10.02   23.76   23.42
10.05   23.88   23.97
10.08   23.71   23.96
10.11   23.55   23.45
10.14   23.92   23.87
10.16   23.18   23.35
10.19   23.67   23.36
10.22   23.46   23.52
10.25   23.01   23.46
10.27   23.53   23.49
10.30   23.77   23.40
10.33   23.25   23.26
10.36   23.40   23.42
10.39   23.48   23.46
10.42   23.36   23.54
10.44   23.25   23.59
10.47   23.51   23.44
10.50   23.92   23.90
10.53   23.35   23.34
10.55   23.49   23.44
10.58   23.55   23.46
10.61   23.06   23.62
10.64   24.07   23.96
10.66   23.97   23.79
10.69   23.42   23.44
10.72   23.45   23.41
10.75   24.21   23.96
10.77   23.62   24.12
10.80   23.27   23.49
10.83   24.34   23.83
10.86   23.84   23.80
10.89   23.35   23.36
10.92   23.63   23.46
10.94   23.95   23.93
10.97   23.72   23.99
11.00   23.48   23.44
11.03   24.10   23.74
11.05   23.59   23.81
11.08   23.97   23.95
11.11   24.15   24.10
11.14   23.14   23.52
11.17   23.89   23.94
11.19   23.60   23.32
11.22   23.80   23.79
11.25   23.17   23.42
11.27   23.59   23.49
11.31   23.94   24.07
11.35   23.07   23.48
11.38   23.53   23.39
11.41   24.01   23.88
11.44   23.12   23.36
11.47   23.54   23.52
11.50   23.63   23.44
11.52   23.11   23.49
11.55   23.86   23.89
11.58   23.96   23.90
11.61   23.32   23.41
11.64   23.23   23.46
11.66   23.61   23.57
11.69   23.42   23.53
11.72   23.86   23.92
11.75   23.59   23.30
11.77   23.98   23.82
11.80   23.44   23.44
11.83   23.56   23.48
11.86   23.61   23.62
11.88   23.22   23.46
11.91   23.43   23.36
11.94   23.51   23.25
11.97   23.76   23.90
12.00   23.74   24.05
12.03   23.54   23.63
12.05   23.44   23.51
12.08   23.59   23.85
12.11   24.03   23.77
12.14   23.95   23.83
12.16   23.30   23.49
12.19   23.96   24.02
12.22   24.11   24.00
12.25   23.06   23.40
12.27   23.94   23.86
12.30   24.10   23.84
12.33   23.13   23.46
12.36   23.86   24.04
12.39   23.89   23.53
12.41   23.82   23.94
12.44   23.34   23.31
12.47   23.78   23.39
12.50   23.97   23.92
12.53   23.12   23.46
12.55   24.03   24.02
12.58   23.49   23.48
12.61   23.24   23.43
12.64   23.96   23.87
12.67   24.35   23.87
12.69   23.79   23.95
12.72   23.80   24.13
12.75   24.18   24.04
12.77   23.34   23.42
12.80   23.80   23.81
12.83   23.61   23.35
12.86   23.93   23.97
12.89   23.67   24.03
12.91   23.63   23.45
12.94   23.62   23.43
12.97   23.61   23.77
13.00   23.54   23.34
13.03   23.62   23.44
13.08   23.20   23.54
13.11   23.86   24.02
13.14   23.86   23.45
13.16   23.43   23.37
13.19   23.23   23.27
13.22   24.05   23.87
13.25   23.41   23.45
13.27   23.10   23.62
13.30   24.27   23.93
13.33   23.52   23.37
13.36   23.25   23.35
13.39   23.50   23.36
13.41   23.53   23.47
13.44   23.53   24.04
13.47   23.42   23.50
13.50   23.72   23.43
13.52   23.30   23.36
13.55   23.27   23.43
13.58   24.39   23.94
13.61   23.33   23.46
13.64   23.19   23.54
13.66   23.71   23.44
13.69   23.93   23.79
13.72   23.43   23.26
13.75   23.47   23.44
13.77   23.57   23.51
13.80   23.15   23.63
13.83   23.95   23.94
13.86   23.75   23.41
13.89   23.84   23.82
13.91   23.43   23.39
13.94   24.02   24.03
13.97   23.30   23.48
14.00   23.37   23.49
14.02   23.78   23.36
14.05   23.48   23.32
14.08   23.07   23.36
14.11   23.63   23.45
14.14   23.49   23.51
14.17   23.61   24.02
14.19   23.53   23.43
14.22   23.50   23.32
14.25   23.63   23.88
14.28   23.40   23.44
14.30   23.79   23.46
14.33   23.92   24.05
14.36   23.22   23.46
14.39   23.82   23.32
14.42   23.43   23.43
14.44   23.74   23.88
14.47   23.48   23.53
14.50   23.52   23.54
14.52   23.28   23.47
14.55   23.55   23.40
14.58   23.62   23.35
14.61   23.89   23.87
14.64   23.43   23.49
14.67   23.67   23.46
14.69   23.42   23.48
14.72   23.77   23.90
14.75   23.55   23.42
14.78   23.42   23.30
14.83   23.03   23.45
14.86   23.62   23.51
14.88   23.55   23.51
14.91   23.48   23.93
14.94   23.59   23.28
14.97   24.02   23.92
14.99   23.57   23.92
15.02   23.44   23.57
15.05   23.65   23.58
15.08   23.67   23.96
15.10   23.30   23.36
15.13   23.57   23.38
15.16   23.35   23.41
15.19   23.16   23.44
15.22   23.68   23.48
15.25   23.51   23.52
15.27   23.10   23.36
15.30   23.97   23.85
